article_id;article_category_id;article_name
13652746;549039;*****
13652754;549039;*****
13652770;549039;*****
13652778;549039;*****
13652791;549039;*****
13652795;549039;*****
13652796;549039;*****
13652797;549039;*****
13652799;549039;*****
13652800;549039;*****
13652801;549039;*****
13652804;549039;*****
13652808;549039;*****
13652820;549039;*****
13652969;549039;*****
13652970;549039;*****
13652971;549039;*****
13652974;549039;*****
13652976;549039;*****
13652982;549039;*****
13652983;549039;*****
13652984;549039;*****
13652985;549039;*****
13652990;549039;*****
13652991;549039;*****
13652992;549039;*****
13653001;549039;*****
13653003;549039;*****
13653004;549039;*****
13653005;549039;*****
13653006;549039;*****
13653007;549039;*****
13653008;549039;*****
13653009;549039;*****
13653010;549039;*****
13653018;549039;*****
13653019;549039;*****
13653046;549039;*****
13653079;549039;*****
13653081;549039;*****
13653331;549039;*****
13653648;549039;*****
13653649;549039;*****
13653696;549039;*****
13653697;549039;*****
13653732;549039;*****
13653760;549039;*****
13653761;549039;*****
13653769;549039;*****
13653824;549039;*****
13653825;549039;*****
13653830;549039;*****
13653833;549039;*****
13653837;549039;*****
13653852;549039;*****
13653864;549039;*****
13653911;549039;*****
13653912;549039;*****
13653913;549039;*****
13653923;549039;*****
13653924;549039;*****
13653928;549039;*****
13653931;549039;*****
13653952;549039;*****
13653970;549039;*****
13654030;549039;*****
13654034;549039;*****
13654536;549039;*****
13654605;549039;*****
13654626;549039;*****
13654633;549039;*****
13654639;549039;*****
13654643;549039;*****
13654662;549039;*****
13654673;549039;*****
13654682;549039;*****
13654685;549039;*****
13654686;549039;*****
13654690;549039;*****
13654701;549039;*****
13654702;549039;*****
13654716;549039;*****
13654717;549039;*****
13654718;549039;*****
13654720;549039;*****
13654721;549039;*****
13654723;549039;*****
13654724;549039;*****
13654726;549039;*****
13654727;549039;*****
13654728;549039;*****
13654729;549039;*****
13654730;549039;*****
13654731;549039;*****
13654732;549039;*****
13654818;549039;*****
13654821;549039;*****
13654822;549039;*****
13654829;549039;*****
13654830;549039;*****
13654832;549039;*****
13654839;549039;*****
13654845;549039;*****
13654847;549039;*****
13654974;549039;*****
13654997;549039;*****
13654999;549039;*****
13655027;549039;*****
13655036;549039;*****
13655091;549039;*****
13655092;549039;*****
13655099;549039;*****
13655107;549039;*****
13655114;549039;*****
13655115;549039;*****
13655117;549039;*****
13655123;549039;*****
13655127;549039;*****
13655486;549039;*****
13655555;549039;*****
13655558;549039;*****
13655559;549039;*****
13655569;549039;*****
13655570;549039;*****
13655571;549039;*****
13655578;549039;*****
13655579;549039;*****
13655581;549039;*****
13655582;549039;*****
13655583;549039;*****
13655586;549039;*****
13655587;549039;*****
13655588;549039;*****
13655589;549039;*****
13655590;549039;*****
13655591;549039;*****
13655592;549039;*****
13655593;549039;*****
13655595;549039;*****
13655596;549039;*****
13655600;549039;*****
13655601;549039;*****
13655603;549039;*****
13655605;549039;*****
13655607;549039;*****
13655608;549039;*****
13655609;549039;*****
13655614;549039;*****
13655615;549039;*****
13655618;549039;*****
13655619;549039;*****
13655620;549039;*****
13655621;549039;*****
13655645;549039;*****
13655649;549039;*****
13655652;549039;*****
13655653;549039;*****
13655654;549039;*****
13655655;549039;*****
13655656;549039;*****
13655657;549039;*****
13655658;549039;*****
13655659;549039;*****
13655660;549039;*****
13655661;549039;*****
13655662;549039;*****
13655663;549039;*****
13655664;549039;*****
13655665;549039;*****
13655666;549039;*****
13655667;549039;*****
13655668;549039;*****
13655669;549039;*****
13655670;549039;*****
13655671;549039;*****
13655672;549039;*****
13655673;549039;*****
13655674;549039;*****
13655675;549039;*****
13655676;549039;*****
13655677;549039;*****
13655678;549039;*****
13655679;549039;*****
13655680;549039;*****
13655681;549039;*****
13655682;549039;*****
13655683;549039;*****
13655684;549039;*****
13655685;549039;*****
13655686;549039;*****
13655687;549039;*****
13655693;549039;*****
13655694;549039;*****
13655695;549039;*****
13655698;549039;*****
13655699;549039;*****
13655700;549039;*****
13655703;549039;*****
13655704;549039;*****
13655706;549039;*****
13655707;549039;*****
13655708;549039;*****
13655711;549039;*****
13655734;549039;*****
13655735;549039;*****
13655745;549039;*****
13655775;549039;*****
13655776;549039;*****
13655777;549039;*****
13655778;549039;*****
13655779;549039;*****
13655783;549039;*****
13655784;549039;*****
13655785;549039;*****
13655786;549039;*****
13655787;549039;*****
13655789;549039;*****
13655791;549039;*****
13655792;549039;*****
13655802;549039;*****
13655803;549039;*****
13655804;549039;*****
13655805;549039;*****
13655806;549039;*****
13655812;549039;*****
13655813;549039;*****
13655814;549039;*****
13655815;549039;*****
13655816;549039;*****
13655817;549039;*****
13655836;549039;*****
13655837;549039;*****
13655847;549039;*****
13655874;549039;*****
13655875;549039;*****
13655877;549039;*****
13655878;549039;*****
13655879;549039;*****
13655888;549039;*****
13655889;549039;*****
13655915;549039;*****
13655919;549039;*****
13655920;549039;*****
13655921;549039;*****
13655922;549039;*****
13655923;549039;*****
13655924;549039;*****
13655925;549039;*****
13655926;549039;*****
13655927;549039;*****
13655934;549039;*****
13655935;549039;*****
13655936;549039;*****
13655937;549039;*****
13655938;549039;*****
13655939;549039;*****
13655940;549039;*****
13655941;549039;*****
13655942;549039;*****
13655943;549039;*****
13655944;549039;*****
13655945;549039;*****
13655946;549039;*****
13655947;549039;*****
13655948;549039;*****
13655949;549039;*****
13655950;549039;*****
13655951;549039;*****
13655952;549039;*****
13655953;549039;*****
13655954;549039;*****
13655958;549039;*****
13655959;549039;*****
13655960;549039;*****
13655961;549039;*****
13655964;549039;*****
13655965;549039;*****
13655966;549039;*****
13655967;549039;*****
13655968;549039;*****
13655969;549039;*****
13655970;549039;*****
13655971;549039;*****
13655981;549039;*****
13655982;549039;*****
13655983;549039;*****
13655984;549039;*****
13655985;549039;*****
13655986;549039;*****
13655987;549039;*****
13655988;549039;*****
13655989;549039;*****
13655990;549039;*****
13655991;549039;*****
13655992;549039;*****
13655993;549039;*****
13656105;549039;*****
13656108;549039;*****
13656109;549039;*****
13656111;549039;*****
13656112;549039;*****
13656113;549039;*****
13656115;549039;*****
13656118;549039;*****
13656121;549039;*****
13656122;549039;*****
13656126;549039;*****
13656134;549039;*****
13656136;549039;*****
13656137;549039;*****
13656138;549039;*****
13656139;549039;*****
13656142;549039;*****
13656145;549039;*****
13656148;549039;*****
13656149;549039;*****
13656150;549039;*****
13656151;549039;*****
13656154;549039;*****
13656155;549039;*****
13656164;549039;*****
13656165;549039;*****
13656167;549039;*****
13656170;549039;*****
13656174;549039;*****
13656298;549039;*****
13656333;549039;*****
13656400;549039;*****
13656401;549039;*****
13656402;549039;*****
13656461;549039;*****
13656482;549039;*****
13656512;549039;*****
13656767;549039;*****
13656768;549039;*****
13657331;549039;*****
13657362;549039;*****
13657369;549039;*****
13657372;549039;*****
13657374;549039;*****
13657527;549039;*****
13657528;549039;*****
13657726;549039;*****
13657921;549039;*****
13657927;549039;*****
13657983;549039;*****
13657984;549039;*****
13657985;549039;*****
13657986;549039;*****
13657994;549039;*****
13658000;549039;*****
13658001;549039;*****
13658014;549039;*****
13658020;549039;*****
13658033;549039;*****
13658035;549039;*****
13658048;549039;*****
13658058;549039;*****
13658068;549039;*****
13658070;549039;*****
13658071;549039;*****
13658079;549039;*****
13658088;549039;*****
13658135;549039;*****
13658147;549039;*****
13658233;549039;*****
13658245;549039;*****
13658257;549039;*****
13658369;549039;*****
13658374;549039;*****
13659600;549039;*****
13659604;549039;*****
13659605;549039;*****
13659950;549039;*****
13659971;549039;*****
13659975;549039;*****
13659979;549039;*****
13659982;549039;*****
13659992;549039;*****
13660029;549039;*****
13660033;549039;*****
13660039;549039;*****
13660051;549039;*****
13660052;549039;*****
13660062;549039;*****
13660091;549039;*****
13660096;549039;*****
13660100;549039;*****
13660109;549039;*****
13660112;549039;*****
13660113;549039;*****
13660116;549039;*****
13660126;549039;*****
13660130;549039;*****
13660148;549039;*****
13660149;549039;*****
13660150;549039;*****
13660154;549039;*****
13660158;549039;*****
13660159;549039;*****
13660184;549039;*****
13660207;549039;*****
13660684;549039;*****
13660687;549039;*****
13660688;549039;*****
13660689;549039;*****
